                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     41,                0.95577,                 1.4641,                  1.107,                 1.5182,                0.92178,                0.37932,                0.39937,                0.32589,                0.92411,                0.37987,                0.40128,                0.31543,                0.85027,                 1.2976,                 1.0316,                 1.3123,             0.00037974,             0.00037974,             0.00037974
                     42,                0.91708,                 1.3567,                 1.0179,                   1.49,                0.90717,                0.37554,                0.40697,                0.33021,                0.91057,                0.37761,                0.41135,                0.32831,                0.87155,                 1.1808,                 1.0458,                 1.3129,             0.00034674,             0.00034674,             0.00034674
                     43,                0.88075,                   1.34,                 1.0243,                 1.4496,                0.91636,                0.37879,                0.41204,                0.33439,                0.91667,                 0.3842,                0.41153,                0.32853,                0.82299,                  1.138,                0.95965,                 1.2741,             0.00031373,             0.00031373,             0.00031373
                     44,                0.87391,                 1.3144,                 0.9805,                 1.4487,                0.92202,                0.38068,                0.41313,                0.33668,                0.91534,                0.38636,                0.41482,                0.33732,                0.81823,                 1.1527,                 0.9519,                 1.2445,             0.00028072,             0.00028072,             0.00028072
                     45,                0.82994,                 1.2866,                0.93429,                 1.4166,                0.93748,                 0.3842,                0.42277,                0.35189,                0.93995,                0.38636,                0.42221,                0.34233,                0.75051,                 1.1251,                0.88891,                 1.1772,             0.00024772,             0.00024772,             0.00024772
                     46,                0.80266,                 1.2223,                0.89886,                 1.3829,                0.93956,                 0.3857,                0.42643,                0.34903,                0.94131,                0.39069,                0.42602,                0.34808,                0.78046,                 1.0829,                 0.8984,                 1.2031,             0.00021471,             0.00021471,             0.00021471
                     47,                0.78008,                 1.2064,                0.87446,                 1.3658,                0.92408,                0.39294,                0.41793,                0.35237,                0.92636,                0.39476,                0.42338,                0.34592,                 0.7252,                 1.0707,                0.88908,                   1.17,              0.0001817,              0.0001817,              0.0001817
                     48,                0.75797,                 1.2758,                0.87077,                 1.3321,                0.93077,                 0.3906,                0.42415,                0.36214,                0.93188,                0.39109,                0.42502,                0.34947,                0.73415,                 1.0648,                0.87831,                 1.1507,              0.0001487,              0.0001487,              0.0001487
                     49,                0.75501,                 1.1991,                0.83197,                 1.3215,                0.93868,                0.38715,                0.42618,                0.36287,                0.94114,                0.38931,                0.42973,                0.35239,                0.71346,                  1.053,                0.84862,                 1.1405,             0.00011569,             0.00011569,             0.00011569
                     50,                0.73307,                 1.1292,                0.82489,                 1.3188,                0.93508,                0.39719,                0.43082,                0.36529,                0.93837,                0.40033,                0.43132,                0.35369,                0.69747,                 1.0338,                0.84326,                 1.1205,             8.2683e-05,             8.2683e-05,             8.2683e-05
